group,reading,freq,source
𓀗𓉔𓏤𓄿𓇋𓇋𓏏𓉐𓏤,sms.w-hꜣꞽ.t,1,AES
𓀗𓊪𓏏𓎛𓀀,wr-ptḥ,2,Ramses
𓀗𓌙𓀀,wr,13,AES+Ramses
𓀗𓌙𓀀𓈉,wr,2,AES+Ramses
𓀗𓌙𓈉,wr,2,AES+Ramses
𓀗𓌙𓈉𓀀,wr,4,AES+Ramses
𓀗𓌢𓌢𓌢𓈖𓏏,sms.w-sn.wt,1,AES
𓀗𓏏,ꞽꜣw.t,2,Ramses
𓀗𓏏𓂝,ḥwi,1,AES
𓀗𓏛,ꞽꜣw.t,1,Ramses
𓀗𓏛,wr,1,Ramses
𓀗𓏤𓅆,wr,5,Ramses
𓀗𓏥,wr.w,6,Ramses
𓀗𓏪,wr.w,43,Ramses
𓀗𓏪󿇛,wr.w,1,Ramses
𓀗𓏲𓀀,wr,4,AES+Ramses
𓀗𓏲𓀀,sms.w,1,AES
𓀗𓏲𓀀𓏥,wr.w,35,AES+Ramses
𓀗𓏲𓀀𓏥,wr,9,AES+Ramses
𓀗𓏲𓀀𓏥,sr.w,3,Ramses
𓀗𓏲𓀀𓏥,ꞽꜣw.w,1,Ramses
𓀗𓏲𓀀𓏥𓍘𓇋,wr.t,1,Ramses
𓀗𓏲𓀀𓏥𓏫,wr.w,1,Ramses
𓀗𓏲𓅆,wr,12,AES+Ramses
𓀗𓏲𓅆,sms.w,1,AES
𓀗𓏲𓅆,wr.w,1,Ramses
𓀗𓏲𓅆𓅓𓊽𓊽𓂧𓏲𓊖𓅆,wr-m-ḏd.w,1,AES
𓀗𓏲𓅆𓈖𓄿𓏤𓏤𓏤𓏤𓏤𓏤𓏤𓏤𓋴𓋴𓏌𓏲𓅆𓅆𓏫,wr-ḫmn.ꞽw,1,AES
𓀗𓏲𓅆𓏪𓏌𓏤􅯓𓏏𓉐𓅆𓏪,wr.w-n.w-ḥw.t-ꜥꜣ.t,1,AES
𓀗𓏲𓅆𓏫,wr.w,2,AES+Ramses
𓀗𓏲𓅆𓏫,ꞽꜣw,1,Ramses
𓀗𓏲𓅆𓏫𓅓𓏤𓊹𓌨𓂋𓏏𓏏𓈉,wr.w-m-ẖr.t-nṯr,1,AES
𓀗𓏲𓅆𓏫𓉥𓂝𓏏𓉐𓅆,wr.w-ꜥḥ.t,2,AES
𓀗𓏲𓅆𓏫𓉺𓏌𓊖𓅆𓏶𓏥𓉗𓏏𓉐𓊃𓎡𓂋𓅆𓌳𓂂𓂂𓀅𓏛𓏥𓅓𓈙𓇾𓏴𓏏𓏏𓉐𓉻𓏏𓏛𓅓𓊅𓌉𓊖,wr.w-ꞽwn.w-ꞽm.ꞽw-ḥw.t-zkr-mꜣꜣ-ꞽmn.w-m-štꞽ.t-ꜥꜣ.t-ꞽnb.w-ḥḏ,1,AES
𓀗𓏲𓅆𓏫𓉺𓏌𓊖𓏶𓏥𓉗𓏏𓉐𓊃𓎡𓂋𓅆𓌳𓂂𓂂𓇋𓏠𓈖𓀅𓏛𓏥𓅓𓈙𓇾𓏴𓏏𓏏𓉐𓉻𓏏𓏛𓅓𓊅𓌉𓊖,wr.w-ꞽwn.w-ꞽm.ꞽw-ḥw.t-zkr-mꜣꜣ-ꞽmn.w-m-štꞽ.t-ꜥꜣ.t-ꞽnb.w-ḥḏ,1,AES
𓀗𓏲𓇋𓇋𓀀𓏥,wr.w,1,Ramses
𓀗𓏲𓇋𓇋𓀀𓏥𓅓𓉺𓏌𓊖𓅆,sr-m-ꞽwn.w,1,AES
𓀗𓏲𓈒𓏥,ꞽk,1,Ramses
𓀗𓏲𓏪,wr.w,1,Ramses
𓀗𓏲𓏲𓀀𓏥,wr.w,2,AES
𓀗𓏲𓏲𓅆𓅆𓏫,wr.w,1,AES
𓀗󼶫,wr.w,1,Ramses
